Collection Date,Lineage
2021-09,B.1.617.2
2021-09,AY.65
2021-09,B.1.617.2
2021-09,AY.122
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,AY.111
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,AY.127
2021-09,AY.127
2021-09,AY.127
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,AY.127
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,AY.127
2021-09,AY.108
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,AY.127
2021-09,B.1.617.2
2021-10,B.1.617.2
2021-09,AY.108
2021-09,AY.127
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-08,AY.127
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.112
2021-08,AY.108
2021-08,AY.127
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.126
2021-08,AY.108
2021-08,B.1.617.2
2021-08,AY.126
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.127
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.127
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.99
2021-08,AY.108
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.99
2021-08,B.1.617.2
2021-08,AY.127
2021-08,AY.127
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.127
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.108
2021-08,B.1.617.2
2021-08,AY.99
2021-08,B.1.617.2
2021-08,AY.111
2021-08,B.1.617.2
2021-08,AY.108
2021-08,AY.127
2021-08,B.1.617.2
2021-08,AY.127
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.127
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.108
2021-08,AY.108
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.108
2021-08,AY.127
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.127
2021-06,AY.127
2021-08,B.1.617.2
2021-08,AY.127
2021-08,B.1.617.2
2021-08,AY.108
2021-08,B.1.617.2
2021-08,AY.112.1
2021-08,B.1.617.2
2021-08,AY.127
2021-08,B.1.617.2
2021-08,AY.127
2021-08,AY.127
2021-08,AY.108
2021-08,B.1.617.2
2021-08,AY.127
2021-09,AY.108
2021-09,AY.108
2021-08,B.1.617.2
2021-09,B.1.617.2
2021-08,B.1.617.2
2021-09,B.1.617.2
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-09,AY.6
2021-09,B.1.617.2
2021-08,AY.127
2021-08,B.1.617.2
2021-08,B.1.617.2
2021-08,AY.127
2021-08,B.1.617.2
2021-09,B.1.617.2
2021-08,AY.127
2021-08,AY.127
2021-09,B.1.617.2
2021-09,AY.127
2021-09,AY.108
2021-09,AY.127
2021-09,AY.108
2021-09,B.1.617.2
2021-09,AY.127
2021-09,B.1.617.2
2021-09,AY.127
2021-09,B.1.617.2
2021-09,AY.127
2021-09,AY.126
2021-10,AY.108
2021-10,AY.127
2021-10,B.1.617.2
2021-09,AY.127
2021-09,B.1.617.2
2021-09,AY.108
2021-10,AY.127
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-09,B.1.617.2
2021-10,B.1.617.2
2021-09,B.1.617.2
2021-09,AY.127
2021-09,B.1.617.2
2021-10,AY.127
2021-10,AY.127
2021-10,AY.127
2021-10,B.1.617.2
2021-10,B.1.617.2
2021-10,B.1.617.2
2021-10,B.1.617.2
2021-10,B.1.617.2
2021-10,AY.108
2021-10,AY.127
2021-10,AY.108
2021-10,AY.108
2021-10,B.1.617.2
2021-10,B.1.617.2
2021-10,B.1.617.2
2021-10,B.1.617.2
2021-10,AY.55
2021-10,B.1.617.2
2021-10,B.1.617.2
2021-10,AY.127
2021-10,AY.127
2021-08,B.1.617.2
2021-04,B.1.617.2
2021-12,AY.127
2021-12,AY.127
2021-12,AY.127
2021-12,AY.127
2021-12,B.1.617.2
2021-08,B.1.617.2
2021-10,B.1.617.2
2022-02,B.1.617.2
2022-02,B.1.617.2
2022-02,AY.127
2021-09,B.1.617.2
2021-05,B.1.617.2
2021-05,AY.108
2021-05,B.1.617.2
2021-05,B.1.617.2
