Collection Date	Lineage
2021-03-07	B.1.1.7
2021-03-07	B.1.1.7
2021-03-10	B.1.1.7
2021-03-10	B.1.1.7
2021-01-11	B.1.1.7
2021-01-25	B.1.1.7
2021-03-16	B.1.1.7
2021-01-08	B.1.1.7
2021-01-08	B.1.1.7
2021-01-13	B.1.1.7
2021-01-26	B.1.1.7
2021-01-04	B.1.1.7
2021-02-01	B.1.1.7
2021-02-18	B.1.1.7
2021-01-06	B.1.1.7
2021-01-20	B.1.1.7
2021-02-04	B.1.1.7
2021-02-16	B.1.1.7
2021-02-18	B.1.1.7
2021-02-20	B.1.1.7
2021-02-21	B.1.1.7
2021-02-23	B.1.1.7
2021-02-25	B.1.1.7
2021-01-23	B.1.1.7
2021-04-12	B.1.1.7
2021-04-12	B.1.1.7
2021-03-25	B.1.1.7
2021-04-03	B.1.1.7
2021-02-04	B.1.1.7
2021-02-08	B.1.1.7
2021-02-13	B.1.1.7
2021-03-01	B.1.1.7
2021-03-11	B.1.1.7
2021-03-22	B.1.1.7
2021-03-23	B.1.1.7
2021-02-21	B.1.1.7
2021-03-13	B.1.1.7
2021-03-08	B.1.1.7
2021-01-31	B.1.1.7
2021-04-01	B.1.1.7
2021-03-31	B.1.1.7
2021-03-29	B.1.1.7
2021-04-01	B.1.1.7
2021-03-28	B.1.1.7
2021-04-01	B.1.1.7
2021-03-06	B.1.1.7
2021-04-19	B.1.1.7
2021-04-03	B.1.1.7
2021-04-11	B.1.1.7
2021-03-22	B.1.1.7
2021-02-22	B.1.1.7
2021-05-07	B.1.1.7
2021-05-12	B.1.1.7
2021-03-30	B.1.1.7
2021-03-31	B.1.1.7
2021-05-20	B.1.1.7
2021-06-06	B.1.1.7
2021-06-03	B.1.1.7
2021-07-03	B.1.1.7
2021-05-24	B.1.1.7
2021-02-23	B.1.1.7
