Collection Date	Lineage
2021-07-11	AY.122
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-12	B.1.617.2
2021-07-12	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-12	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-12	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	AY.126
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-11	B.1.617.2
2021-07-12	B.1.617.2
2021-07-12	B.1.617.2
2021-07-11	AY.122
2021-07-11	B.1.617.2
2021-07-12	B.1.617.2
2021-07-13	B.1.617.2
2021-07-12	B.1.617.2
2021-07-12	B.1.617.2
2021-07-13	B.1.617.2
2021-07-12	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-14	B.1.617.2
2021-07-14	AY.122
2021-07-14	B.1.617.2
2021-07-15	B.1.617.2
2021-07-14	B.1.617.2
2021-07-15	B.1.617.2
2021-07-15	B.1.617.2
2021-07-15	AY.122
2021-07-15	AY.122
2021-07-15	B.1.617.2
2021-07-14	B.1.617.2
2021-07-14	B.1.617.2
2021-07-15	B.1.617.2
2021-07-14	B.1.617.2
2021-07-14	B.1.617.2
2021-07-14	B.1.617.2
2021-07-17	B.1.617.2
2021-07-31	B.1.617.2
2021-08-11	B.1.617.2
2021-08-11	B.1.617.2
2021-08-11	B.1.617.2
2021-08-12	B.1.617.2
2021-08-12	B.1.617.2
2021-08-11	B.1.617.2
2021-08-11	B.1.617.2
2021-08-11	B.1.617.2
2021-08-11	B.1.617.2
2021-08-11	B.1.617.2
2021-08-10	B.1.617.2
2021-08-10	AY.127
2021-08-12	B.1.617.2
2021-08-05	B.1.617.2
2021-08-05	B.1.617.2
2021-08-05	AY.122
2021-08-05	AY.122
2021-08-05	AY.65
2021-08-05	B.1.617.2
2021-08-05	B.1.617.2
2021-08-05	B.1.617.2
2021-08-05	AY.65
2021-08-05	B.1.617.2
2021-08-05	B.1.617.2
2021-08-04	B.1.617.2
2021-08-05	AY.122
2021-08-05	AY.65
2021-08-21	B.1.617.2
2021-08-21	B.1.617.2
2021-08-06	B.1.617.2
2021-08-01	AY.112
2021-08-08	B.1.617.2
2021-08-01	B.1.617.2
2021-08-01	B.1.617.2
2021-08-01	B.1.617.2
2021-08-01	B.1.617.2
2021-08-01	B.1.617.2
2021-08-02	B.1.617.2
2021-08-02	B.1.617.2
2021-08-02	B.1.617.2
2021-08-02	B.1.617.2
2021-08-02	B.1.617.2
2021-08-02	B.1.617.2
2021-08-07	AY.122
2021-08-07	B.1.617.2
2021-08-07	B.1.617.2
2021-08-07	AY.65
2021-08-04	B.1.617.2
2021-08-04	B.1.617.2
2021-08-04	AY.122
2021-08-04	B.1.617.2
2021-08-17	B.1.617.2
2021-08-17	B.1.617.2
2021-08-17	B.1.617.2
2021-11-14	B.1.617.2
2021-12-01	AY.131
2021-12-08	AY.122
2021-10-02	B.1.617.2
2021-10-02	B.1.617.2
2021-09-22	AY.122
2021-09-20	AY.122
2021-09-30	AY.127
2021-08-26	B.1.617.2
2021-08-26	B.1.617.2
2021-08-14	B.1.617.2
2021-08-14	B.1.617.2
2022-01-01	AY.131
2021-11-26	AY.131
2021-11-10	AY.131
2022-01-04	AY.131
2022-01-09	AY.131
2022-01-11	AY.131
2022-01-09	AY.131
2022-01-14	AY.131
2022-01-12	AY.131
2022-01-13	AY.131
2022-01-13	AY.131
2022-01-31	AY.131
2022-01-24	AY.131
2021-06-29	AY.122
2021-06-29	B.1.617.2
2021-06-29	B.1.617.2
2021-06-29	B.1.617.2
2021-07-13	AY.122
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-13	B.1.617.2
2021-07-15	B.1.617.2
2021-07-15	B.1.617.2
2021-07-15	AY.122
2021-07-17	B.1.617.2
2021-07-17	B.1.617.2
2021-07-17	B.1.617.2
2021-07-17	AY.75.2
2021-07-17	B.1.617.2
2021-07-26	B.1.617.2
2021-07-26	B.1.617.2
2021-08-11	B.1.617.2
2021-08-12	B.1.617.2
2021-08-12	B.1.617.2
2021-08-12	B.1.617.2
2021-08-04	B.1.617.2
2021-08-26	B.1.617.2
2021-10-14	B.1.617.2
2021-10-11	B.1.617.2
2021-10-11	B.1.617.2
2021-10-06	B.1.617.2
2021-10-06	B.1.617.2
2021-10-03	B.1.617.2
2021-09-27	B.1.617.2
2021-09-28	AY.122
2021-09-25	B.1.617.2
2021-09-16	B.1.617.2
2021-12-29	AY.127
2021-09-30	B.1.617.2
2022-01-17	AY.131
2021-09-23	B.1.617.2
2021-09-23	B.1.617.2
2021-09-23	B.1.617.2
2021-09-17	B.1.617.2
2021-09-04	B.1.617.2
2021-09-04	B.1.617.2
2022-01-10	AY.131
2022-01-18	AY.131
2021-07-15	AY.65
2021-07-14	AY.122
2021-06-29	AY.122
2021-08-24	B.1.617.2
2021-11-02	B.1.617.2
2021-10-21	AY.122
2021-11-02	AY.127
2021-09-23	B.1.617.2
2021-09-02	B.1.617.2
2021-10-21	B.1.617.2
2022-01-04	AY.131
2022-01-09	AY.131
2021-06-29	B.1.617.2
2022-03-10	AY.131
