Collection Date	Lineage
2021-08-21	B.1.617.2
2021-08-21	B.1.617.2
2021-08-06	B.1.617.2
2021-08-01	AY.112
2021-08-08	B.1.617.2
2021-08-01	B.1.617.2
2021-08-01	B.1.617.2
2021-08-01	B.1.617.2
2021-08-01	B.1.617.2
2021-08-01	B.1.617.2
2021-08-02	B.1.617.2
2021-08-02	B.1.617.2
2021-08-02	B.1.617.2
2021-08-02	B.1.617.2
2021-08-02	B.1.617.2
2021-08-02	B.1.617.2
2021-08-07	AY.122
2021-08-07	B.1.617.2
2021-08-07	B.1.617.2
2021-08-07	AY.65
2021-08-04	B.1.617.2
2021-08-04	B.1.617.2
2021-08-04	AY.122
2021-08-04	B.1.617.2
2021-08-17	B.1.617.2
2021-08-17	B.1.617.2
2021-08-17	B.1.617.2
2021-11-14	B.1.617.2
2021-12-01	AY.131
2021-12-08	AY.122
2021-10-02	B.1.617.2
2021-10-02	B.1.617.2
2021-09-22	AY.122
2021-09-20	AY.122
2021-09-30	AY.127
2021-08-26	B.1.617.2
2021-08-26	B.1.617.2
2021-08-14	B.1.617.2
2021-08-14	B.1.617.2
2022-01-01	AY.131
2021-11-26	AY.131
2021-11-10	AY.131
2022-01-04	AY.131
2022-01-09	AY.131
2022-01-11	AY.131
2022-01-09	AY.131
2022-01-14	AY.131
2022-01-12	AY.131
2022-01-13	AY.131
2022-01-13	AY.131
2021-09-17	B.1.617.2
2021-03-15	B.1.1
2021-09-04	B.1.617.2
2021-09-04	B.1.617.2
2022-01-10	AY.131
2022-01-18	AY.131
2021-07-15	AY.65
2021-07-14	AY.122
2021-06-29	AY.122
2020-08-25	B.1.1.25
2020-10-04	B.1.1.25
2020-09-27	B.1.1.25
2020-09-30	B.1.1.25
2021-08-24	B.1.617.2
2021-11-02	B.1.617.2
2021-10-21	AY.122
2021-11-02	AY.127
2021-09-23	B.1.617.2
2021-09-02	B.1.617.2
2021-10-21	B.1.617.2
2021-03-29	B.1.351.3
2021-07-29	B.1.351.3
2022-01-04	AY.131
2022-01-09	AY.131
2020-09-23	B.1.1.25
2020-08-12	B.1.1.25
2020-12-08	B.1.1.25
2021-06-29	B.1.617.2
2020-08-12	B.1.1.25
2020-12-20	B.1.1.25
2021-09-20	B.1.1.25
2021-04-02	B.1.351.3
2021-04-27	B.1.351.3
2020-09-23	B.1.1.25
2020-09-23	B.1.1.25
2020-09-23	B.1.1.25
2021-04-27	B.1.351.3
2021-03-22	B.1.351.3
2021-02-11	B.1.1
2020-08-12	B.1.1.25
2021-09-23	B.1.1.25
2020-12-15	B.1.1.25
2020-08-12	B.1.1.25
2022-06-19	BA.5.2
2022-06-08	BA.2.10
2022-03-10	AY.131
2022-05-07	BA.2
2022-07-21	BA.5.3.1
2022-07-16	BA.5.2
2022-09-06	BA.2.75
