Collection Date	Lineage
2021-03-02	B.1.1.7
2021-04-29	B.1.1.7
2021-04-26	B.1.1.7
2021-09-03	B.1.1.7
2021-04-01	B.1.1.7
2021-04-01	B.1.1.7
2021-04-01	B.1.1.7
2021-04-01	B.1.1.7
2021-04-05	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-04	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-03	B.1.1.7
2021-05	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2020-12-28	B.1.1.7
2020-12-28	B.1.1.7
2020-12-31	B.1.1.7
2021-05-06	B.1.1.7
2021-02-21	B.1.1.7
2021-03-16	B.1.1.7
2021-03-16	B.1.1.7
2021-03-06	B.1.1.7
2021-03-05	B.1.1.7
2021-03-06	B.1.1.7
2021-03-20	B.1.1.7
2021-03-21	B.1.1.7
2021-03-23	B.1.1.7
2021-03-24	B.1.1.7
2021-02-27	B.1.1.7
2021-03-16	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-03-01	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04-30	B.1.1.7
2021-08-31	B.1.1.7
2021-04-15	B.1.1.7
2021-04-15	B.1.1.7
2021-04-15	B.1.1.7
2021-04-15	B.1.1.7
2021-04-15	B.1.1.7
2021-04-22	B.1.1.7
2021-04-22	B.1.1.7
2021-04-30	B.1.1.7
2021-04-30	B.1.1.7
2021-05-01	B.1.1.7
2021-05-04	B.1.1.7
2021-05-11	B.1.1.7
2021-05-25	B.1.1.7
2021-05-14	B.1.1.7
2021-05-11	B.1.1.7
2021-05-12	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021	B.1.1.7
2021-10-07	B.1.1.7
2021-01-27	B.1.1.7
2021-03-30	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-04	B.1.1.7
2021-05	B.1.1.7
2021-05	B.1.1.7
2021-02-17	B.1.1.7
2021-03-15	B.1.1.7
2021-06	B.1.1.7
2021-07	B.1.1.7
2021-05	B.1.1.7
2021-07	B.1.1.7
2021-06	B.1.1.7
2021-06	B.1.1.7
2021-06	B.1.1.7
2021-06	B.1.1.7
2021-06	B.1.1.7
