Collection Date	Lineage
2021-02-19	B.1.1.7
2021-02-19	B.1.1.7
2021-02-19	B.1.1.7
2021-02-19	B.1
2021-02-24	B.1
2021-02-24	B.1.151
2021-02-24	B.1
2021-03-08	B.6
2021-03-08	B.6
2021-03-08	B.1.1.306
2021-03-08	B.1.36.8
2021-03-08	B.1.210
2021-03-08	B.1.1.306
2021-03-08	B.1.548
2021-03-08	B.1.1.306
2021-03-08	B.1.1.46
2021-03-08	B.1.1.46
2021-03-08	B.1.1.46
2021-03-08	B.1.1.46
2021-03-08	B.1.1.46
2021-03-08	B.6
2021-03-08	B.1.369
2021-03-08	B.1.1.306
2021-03-09	B.1.1
2021-03-09	B.1.1.306
2021-06-03	B.1.1.216
2021-06-03	B.1.1.46
2021-06-03	B.1.1.306
2021-06-03	B.1.210
2021-06-03	B.1.1.306
2021-06-03	B.1.1.306
2021-06-03	B.1.560
2021-06-03	B.1.1.306
2021-06-03	B.1.1.306
2021-06-03	B.1.1.306
2020-04-06	B.1.1.306
2020-04-06	B.1.1.306
2020-04-06	B.1.1.306
2020-04-06	B.1.1
2020-04-06	B.1.1.46
2020-04-06	B.1.560
2020-04-06	B.1.560
2021-09-25	B.6
2021-09-25	B.6
2021-09-25	B.1.36.8
2021-09-25	B.1.1.46
2021-09-25	B.1.210
2021-09-25	B.1.1
2021-09-25	B.1.210
2021-09-25	B.1.1.306
2021-09-25	B.1.1.46
2021-09-25	B.1.1.46
2021-09-25	B.1.36
2021-09-25	B.1.36
2021-09-25	B.1.1.216
2021-09-25	B.1
2021-09-25	B.1.36
2021-09-25	B.1.36.8
2021-09-25	B.1.36
2021-09-25	B.1.36
2021-09-25	B.1.36
2021-09-25	B.1.36
2021-09-25	B.1.36
2021-09-25	B.1.36
2021-09-25	B.1.36
2021-09-25	B.1.36
2020-06-05	B.1.540
2020-06-05	B.1.36
2020-06-29	B.6.6
2020-07-10	B.1.36
2020-07-10	B.1.36
2020-07-11	B.1.36
2020-07-11	B.1.36
2020-07-11	B.1.36
2020-07-11	B.1.36
2020-07-11	B.1.36
2020-07-11	B.1
2020-07-15	B.1.36
2020-07-15	B.1.36
2020-07-25	B.1.1.216
2020-07-25	B.1.36
2020-07-25	B.1.36
2020-07-25	B.1.36
2020-07-25	B.1.36
2021-10-18	B.1.36
2021-10-18	B.1.36
2021-10-18	B.1.36
2021-10-18	B.1
2021-10-18	B.1.36
2021-10-18	B.1
2021-10-18	B.1
2021-10-18	B.1
2021-10-18	B.1.1
2021-10-18	B.1.560
2021-10-18	B.1.36
2021-10-18	B.1.36
