Collection Date	Lineage
2022-10-08	BA.2.75
2022-10-08	BA.2
2022-10-08	BA.2
2022-10-07	BA.2
2022-10-10	BA.2
2022-10-09	BA.2.75
2022-10-12	BA.2
2022-10-12	BA.2
2022-10-12	BA.2
2022-10-10	BA.2
2022-10-06	BA.2.75
2022-10-08	BA.2
2022-10-09	BA.2
2022-10-11	BA.2
2022-10-03	BA.2
2022-10-03	BA.2.75
2022-10-06	BA.2
2022-10-11	BA.2.75
2022-10-12	BA.2.75
2022-10-13	BA.2
2022-10-12	BA.2
2022-10-08	BA.2
2022-10-10	BA.2.75
2022-10-13	BA.2.75
2022-10-14	BA.2
2022-10-17	BA.2
2022-10-17	BA.2
2022-10-01	BA.2.75
2022-10-10	BA.2.75
2022-10-08	BA.2
2022-10-07	BA.2
2022-10-08	BA.2
2022-10-04	BA.2
2022-10-08	BA.2
2022-08-15	BA.2.75
2022-08-16	B.1.1
2022-08-16	B
2022-08-17	BA.2.75
2022-08-20	BA.2.75
2022-08-19	B.1.1
2022-08-20	BA.2.75
2022-08-22	BA.2.75
2022-08-22	BA.2.75
2022-08-22	BA.2.75
2022-08-22	BA.2.75
2022-08-23	BA.2.75
2022-08-23	B.1.1.529
2022-08-24	BA.2.75
2022-08-29	BA.2.75
2022-08-29	BA.2.75
2022-08-03	BA.2.75
2022-08-03	BA.2.75
2022-08-03	BA.2.75
2022-08-03	BA.2
2022-08-03	BA.2
2022-08-03	BA.2.75
2022-08-03	BA.2
2022-08-03	BA.2.75
2022-08-03	BA.2.75
2022-08-03	BA.2.75
2022-08-03	BA.2.75
2022-08-04	BA.2.75
2022-08-04	BA.2.75
2022-08-04	BA.2.75
2022-08-04	BA.2
2022-08-04	BA.2.75
2022-08-04	BA.2.75
2022-08-04	BA.2.75
2022-08-04	BA.2.75
2022-08-04	BA.2.75
2022-08-08	BA.2.75
2022-08-08	BA.2.75
2022-08-08	BA.2.75
2022-08-08	BA.2.75
2022-08-08	BA.2.75
2022-08-08	BA.2.75
2022-08-08	BA.2.75
2022-08-08	BA.2.75
2022-08-08	BA.2.75
2022-08-08	BA.2.75
2022-08-29	BA.2.75
2022-09-01	BA.2
2022-09-12	BA.2.75
2022-09-14	BA.2
2022-09-18	BA.2.75
2022-09-19	BA.2
2022-09-20	BA.2.75
2022-09-20	BA.2.75
2022-09-21	BA.2.75
2022-09-26	BA.2
2022-09-26	BA.2.75
2022-09-26	BA.2
2022-09-28	BA.2.75
2022-10-13	BA.2
2022-10-13	BA.2
2022-07-21	BA.2.75
2022-10-15	BA.2
2022-10-14	BA.2.75
2022-10-13	BA.2
2022-10-17	BA.2
