Collection Date	Lineage
2021-08-27	B.1.1.7
2021-09-09	B.1.1.7
2021-05-07	B.1.1.7
2021-05-17	B.1.1.7
2021-03-22	B.1.1.7
2021-03-19	B.1.1.7
2021-03-11	B.1.1.7
2021-03-04	B.1.1.7
2021-03-04	B.1.1.7
2021-03-04	B.1.1.7
2021-03-06	B.1.1.7
2021-03-06	B.1.1.7
2021-03-06	B.1.1.7
2021-03-06	B.1.1.7
2021-03-10	B.1.1.7
2021-03-12	B.1.1.7
2021-03-13	B.1.1.7
2021-03-13	B.1.1.7
2021-03-13	B.1.1.7
2021-03-13	B.1.1.7
2021-03-13	B.1.1.7
2021-03-13	B.1.1.7
2021-03-14	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-19	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-20	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-22	B.1.1.7
2021-03-23	B.1.1.7
2021-03-23	B.1.1.7
2021-03-23	B.1.1.7
2021-03-23	B.1.1.7
2021-03-23	B.1.1.7
2021-03-23	B.1.1.7
2021-03-23	B.1.1.7
2021-03-23	B.1.1.7
2021-03-23	B.1.1.7
2021-03-23	B.1.1.7
2021-03-23	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
2021-03-24	B.1.1.7
