Collection Date	Lineage
2021-09-11	B.1.617.2
2021-09-09	AY.65
2021-09-11	B.1.617.2
2021-09-08	AY.122
2021-09-11	B.1.617.2
2021-09-06	B.1.617.2
2021-09-06	B.1.617.2
2021-09-04	B.1.617.2
2021-09-11	B.1.617.2
2021-09-10	AY.111
2021-09-06	B.1.617.2
2021-09-11	B.1.617.2
2021-09-04	AY.127
2021-09-11	AY.127
2021-09-04	AY.127
2021-09-04	B.1.617.2
2021-09-04	B.1.617.2
2021-09-04	B.1.617.2
2021-09-06	AY.127
2021-09-06	B.1.617.2
2021-09-06	B.1.617.2
2021-09-06	B.1.617.2
2021-09-06	B.1.617.2
2021-09-06	B.1.617.2
2021-09-06	B.1.617.2
2021-09-26	B.1.617.2
2021-09-26	AY.127
2021-09-26	AY.108
2021-09-27	B.1.617.2
2021-09-27	B.1.617.2
2021-09-27	B.1.617.2
2021-09-27	AY.127
2021-09-27	B.1.617.2
2021-10-14	B.1.617.2
2021-09-27	AY.108
2021-09-28	AY.127
2021-09-27	B.1.617.2
2021-09-28	B.1.617.2
2021-09-28	B.1.617.2
2021-08-09	AY.127
2021-08-09	B.1.617.2
2021-08-08	B.1.617.2
2021-08-07	AY.112
2021-08-08	AY.108
2021-08-08	AY.127
2021-08-07	B.1.617.2
2021-08-09	B.1.617.2
2021-08-08	AY.126
2021-08-08	AY.108
2021-08-08	B.1.617.2
2021-08-08	AY.126
2021-08-08	B.1.617.2
2021-08-08	B.1.617.2
2021-08-08	AY.127
2021-08-08	B.1.617.2
2021-08-08	B.1.617.2
2021-08-07	AY.127
2021-08-09	B.1.617.2
2021-08-08	B.1.617.2
2021-08-08	AY.99
2021-08-09	AY.108
2021-08-08	B.1.617.2
2021-08-08	B.1.617.2
2021-08-22	AY.99
2021-08-09	B.1.617.2
2021-08-09	AY.127
2021-08-09	AY.127
2021-08-09	B.1.617.2
2021-08-09	B.1.617.2
2021-08-22	B.1.617.2
2021-08-22	B.1.617.2
2021-08-22	B.1.617.2
2021-08-22	AY.127
2021-08-22	B.1.617.2
2021-08-17	B.1.617.2
2021-08-17	AY.108
2021-08-19	B.1.617.2
2021-08-22	AY.99
2021-08-19	B.1.617.2
2021-08-19	AY.111
2021-08-19	B.1.617.2
2021-08-17	AY.108
2021-08-17	AY.127
2021-08-12	B.1.617.2
2021-08-22	AY.127
2021-08-17	B.1.617.2
2021-08-19	B.1.617.2
2021-08-22	AY.127
2021-08-18	B.1.617.2
2021-08-18	B.1.617.2
2021-08-19	AY.108
2021-08-17	AY.108
2021-08-19	B.1.617.2
2021-08-18	B.1.617.2
2021-08-19	B.1.617.2
2021-08-18	B.1.617.2
2021-08-22	AY.108
2021-08-17	AY.127
2021-08-18	B.1.617.2
2021-08-17	B.1.617.2
2021-08-17	B.1.617.2
2021-08-18	B.1.617.2
2021-08-22	AY.127
2021-06-16	AY.127
2021-08-20	B.1.617.2
2021-08-20	AY.127
2021-08-22	B.1.617.2
2021-08-22	AY.108
2021-08-22	B.1.617.2
2021-08-22	AY.112.1
2021-08-22	B.1.617.2
2021-08-22	AY.127
2021-08-29	B.1.617.2
2021-08-29	AY.127
2021-08-29	AY.127
2021-08-29	AY.108
2021-08-29	B.1.617.2
2021-08-29	AY.127
2021-09-03	AY.108
2021-09-05	AY.108
2021-08-29	B.1.617.2
2021-09-05	B.1.617.2
2021-08-29	B.1.617.2
2021-09-05	B.1.617.2
2021-08-26	B.1.617.2
2021-08-26	B.1.617.2
2021-09-05	AY.6
2021-09-05	B.1.617.2
2021-08-26	AY.127
2021-08-27	B.1.617.2
2021-08-27	B.1.617.2
2021-08-27	AY.127
2021-08-26	B.1.617.2
2021-09-02	B.1.617.2
2021-08-27	AY.127
2021-08-27	AY.127
2021-09-05	B.1.617.2
2021-09-05	AY.127
2021-09-03	AY.108
2021-09-03	AY.127
2021-09-03	AY.108
2021-09-01	B.1.617.2
2021-09-01	AY.127
2021-09-01	B.1.617.2
2021-09-01	AY.127
2021-09-03	B.1.617.2
2021-09-03	AY.127
2021-09-02	AY.126
2021-10-06	AY.108
2021-10-06	AY.127
2021-10-07	B.1.617.2
2021-09-29	AY.127
2021-09-29	B.1.617.2
2021-09-28	AY.108
2021-10-17	AY.127
2021-09-29	B.1.617.2
2021-09-29	B.1.617.2
2021-09-29	B.1.617.2
2021-10-17	B.1.617.2
2021-09-29	B.1.617.2
2021-09-29	AY.127
2021-09-29	B.1.617.2
2021-10-05	AY.127
2021-10-05	AY.127
2021-10-05	AY.127
2021-10-05	B.1.617.2
2021-10-05	B.1.617.2
2021-10-11	B.1.617.2
2021-10-10	B.1.617.2
2021-10-11	B.1.617.2
2021-10-10	AY.108
2021-10-10	AY.127
2021-10-09	AY.108
2021-10-22	AY.108
2021-10-23	B.1.617.2
2021-10-25	B.1.617.2
2021-10-25	B.1.617.2
2021-10-25	B.1.617.2
2021-10-25	AY.55
2021-10-25	B.1.617.2
2021-10-25	B.1.617.2
2021-10-20	AY.127
2021-10-20	AY.127
2021-08-22	B.1.617.2
2021-04-08	B.1.617.2
2021-12-15	AY.127
2021-12-15	AY.127
2021-12-02	AY.127
2021-12-22	AY.127
2021-12-02	B.1.617.2
2021-08-13	B.1.617.2
2021-10-02	B.1.617.2
2022-02-12	B.1.617.2
2022-02-10	B.1.617.2
2022-02-09	AY.127
2021-09-23	B.1.617.2
2021-05-31	B.1.617.2
2021-05-27	AY.108
2021-05-27	B.1.617.2
2021-05-27	B.1.617.2
