Collection Date	Lineage
2020-10-10	B.1.36
2020-09-09	B.1.1.1
2020-06-06	B.1.36
2020-06-06	B.1
2020-07-07	B.1
2020-07-07	B.1.1.1
2020-07-07	B.1
2020-07-07	B.1.1.1
2020-07-07	B.1
2021-01-01	B.1.1.7
2020-09-09	B.1.471
2020-06-06	B.1
2020-06-06	B.1
2020-06-06	B.1
2020-11-26	B.1.36
2020-11-26	B.1.36
2020-11-26	B.1.36
2020-12-14	B.1.471
2020-12-14	B.1.471
2020-12-14	B.1.1
2020-12-14	B.1.1.1
2020-12-14	B.1.36.7
2020-12-14	B.1.36
2020-12-14	B.1.1.1
2020-11-24	B.1.1.1
2020-11-24	B.1
2020-11-26	B.1.1.1
2020-11-24	B.1.36
2020-11-24	B.1.36
2020-11-24	B.1.36
2020-11-24	B.1.1.1
2020-11-24	B.1.1.1
2020-11-24	B.1
2021-01-05	B.1.523
2020-12-12	B.1.471
2020-10-10	B.1
2021-01-01	B.1.1.7
2020-12-10	B.1.36.31
2020-12-11	B.1.36.31
2020-12-11	B.1.36.31
2020-12-11	B.1.36
2020-12-10	B.1.36.8
2020-12-11	B
2020-12-10	B.1.36.31
2020-12-10	B.1.1.1
2020-12-10	B.1.1
2020-12-11	B.1
2020-12-10	B.1.36.24
2020-12-10	B.1.36
2020-12-11	B.1.36.34
2020-12-11	B.1.36.34
2020-12-10	B.1.471
2020-11-20	B.1.36.31
2020-11-21	B.1.36.31
2020-11-21	B.1.36
2020-11-21	B.1.36.31
2020-11-21	B.1.36
2020-11-07	B.1.1
2020-03-04	B.4
2020-11-14	B.1.36.8
2020-11-14	B.1.471
2020-03-16	B
2020-06-02	A
2020-06-02	B.1
2020-06-02	B.1
2020-06-02	B.1
2020-06-02	A
2020-06-06	B.1.36
2020-06-10	B.1.36
2020-12-25	B.1.1.7
2020-12-28	B.1.1.7
2020-05-20	B.1
2020-05-20	B.1.471
2020-05-03	B.1
2020-05-20	B.1.471
2020-06-02	B.1.36
2020-06-02	B.1.36
2020-06-03	A
2020-06-02	B.1.36
2020-06-02	B.1.471
2020-06-02	B.1.471
2020-06-03	B.1
2020-06-04	B.1.36
2020-06-14	B.1.471
2020-07-02	B.1.260
2020-08-10	B.1.471
2020-07-02	B
2020-08-10	B.1.36
2020-06-14	B.1.471
2020-06-14	B.1
2020-08-04	B.1.471
2020-08-10	B.1.471
2020-08-10	B.1.36
2020-08-10	B.1
2020-08-10	B.1.36
2020-08-10	B.1.471
2020-08-10	B.1.471
2020-06-14	B.1.471
2020-07-02	B.1.471
2020-07-02	B.1.36
