pos,SRR,low_mean,mean,high_mean,numFiles,max,min,3,2,num_reads
0,SRR23143753,32.5828,32.693,32.8032,2,32.7481,32.6379,,,2
1,SRR23143753,32.6914,33.0303,33.3691,2,33.1997,32.8609,,,3
2,SRR23143753,32.7333,32.9525,33.1717,2,33.0621,32.8429,,,-5
3,SRR23143753,32.7943,32.9033,33.0122,2,32.9577,32.8488,,,0
4,SRR23143753,32.6601,32.9439,33.2278,2,33.0859,32.802,,,0
5,SRR23143753,32.8024,33.1242,33.4459,2,33.2851,32.9633,,,0
6,SRR23143753,32.7044,33.046,33.3876,2,33.2168,32.8752,,,0
7,SRR23143753,32.7326,33.0703,33.408,2,33.2391,32.9014,,,0
8,SRR23143753,32.8543,33.0876,33.3209,2,33.2042,32.9709,,,0
9,SRR23143753,32.7646,33.1343,33.5039,2,33.3191,32.9494,,,0
10,SRR23143753,32.8368,33.1825,33.5282,2,33.3554,33.0096,,,0
11,SRR23143753,32.7201,33.11,33.4999,2,33.3049,32.915,,,0
12,SRR23143753,32.7759,33.1393,33.5028,2,33.321,32.9576,,,0
13,SRR23143753,32.7915,33.1431,33.4948,2,33.319,32.9673,,,0
14,SRR23143753,32.7659,33.1269,33.4878,2,33.3073,32.9464,,,0
15,SRR23143753,32.7635,33.0837,33.4038,2,33.2437,32.9236,,,0
16,SRR23143753,32.7039,33.0834,33.463,2,33.2732,32.8936,,,0
17,SRR23143753,32.6585,33.0876,33.5167,2,33.3022,32.873,,,0
18,SRR23143753,32.6909,33.0773,33.4636,2,33.2705,32.8841,,,11127
19,SRR23143753,32.5787,33.0449,33.511,2,33.2779,32.8118,,,-11127
20,SRR23143753,32.6683,33.0563,33.4443,2,33.2503,32.8623,,,0
21,SRR23143753,32.6585,33.0523,33.446,2,33.2491,32.8554,,,0
22,SRR23143753,32.6108,33.0065,33.4021,2,33.2043,32.8087,,,0
23,SRR23143753,32.5976,33.0065,33.4153,2,33.2109,32.8021,,,0
24,SRR23143753,32.5258,32.9556,33.3854,2,33.1705,32.7407,,,0
25,SRR23143753,32.7145,32.9775,33.2404,2,33.1089,32.846,,,0
26,SRR23143753,32.6497,32.9723,33.295,2,33.1336,32.811,,,0
27,SRR23143753,32.6229,32.9163,33.2098,2,33.063,32.7696,,,0
28,SRR23143753,32.5781,32.9035,33.229,2,33.0663,32.7408,,,0
29,SRR23143753,32.5558,32.8556,33.1553,2,33.0054,32.7057,,,0
30,SRR23143753,32.5108,32.8192,33.1276,2,32.9734,32.665,,,0
31,SRR23143753,32.4557,32.8143,33.173,2,32.9937,32.635,,,0
32,SRR23143753,32.452,32.7643,33.0766,2,32.9204,32.6081,,,0
33,SRR23143753,32.4525,32.7731,33.0938,2,32.9335,32.6128,,,0
34,SRR23143753,32.4652,32.7408,33.0165,2,32.8787,32.603,,,0
35,SRR23143753,32.4182,32.718,33.0178,2,32.8679,32.5681,,,0
36,SRR23143753,32.5596,32.7011,32.8426,2,32.7719,32.6303,,,0
37,SRR23143753,32.2993,32.6691,33.039,2,32.8541,32.4842,,,0
38,SRR23143753,32.422,32.6999,32.9778,2,32.8388,32.5609,,,0
39,SRR23143753,32.3263,32.6514,32.9765,2,32.814,32.4889,,,0
40,SRR23143753,32.2527,32.5888,32.9248,2,32.7568,32.4207,,,10038
41,SRR23143753,32.2169,32.5292,32.8415,2,32.6853,32.373,,,-10038
42,SRR23143753,32.2847,32.5738,32.8629,2,32.7183,32.4292,,,0
43,SRR23143753,32.3427,32.5617,32.7806,2,32.6711,32.4522,,,0
44,SRR23143753,32.2745,32.5429,32.8113,2,32.6771,32.4087,,,0
45,SRR23143753,32.2966,32.4582,32.6198,2,32.539,32.3774,,,0
46,SRR23143753,32.2835,32.4031,32.5226,2,32.4629,32.3433,,,0
47,SRR23143753,32.2171,32.4038,32.5905,2,32.4971,32.3104,,,0
48,SRR23143753,32.1398,32.4002,32.6607,2,32.5305,32.27,,,0
49,SRR23143753,32.1355,32.3709,32.6063,2,32.4886,32.2532,,,0
50,SRR23143753,32.156,32.408,32.66,2,32.534,32.282,,,0
51,SRR23143753,32.082,32.3513,32.6205,2,32.4859,32.2167,,,0
52,SRR23143753,32.1011,32.4112,32.7214,2,32.5663,32.2562,,,0
53,SRR23143753,32.0303,32.3261,32.6219,2,32.474,32.1782,,,0
54,SRR23143753,32.016,32.3532,32.6903,2,32.5218,32.1846,,,0
55,SRR23143753,32.016,32.2526,32.4892,2,32.3709,32.1343,,,0
56,SRR23143753,31.9933,32.3367,32.6802,2,32.5085,32.165,,,0
57,SRR23143753,32.0146,32.2405,32.4664,2,32.3535,32.1276,,,0
58,SRR23143753,31.9494,32.2916,32.6338,2,32.4627,32.1205,,,5227
59,SRR23143753,31.7093,32.1513,32.5933,2,32.3723,31.9303,,,-5227
60,SRR23143753,31.9982,32.2965,32.5948,2,32.4456,32.1474,,,0
61,SRR23143753,31.9047,32.17,32.4352,2,32.3026,32.0373,,,1
62,SRR23143753,31.9448,32.2152,32.4856,2,32.3504,32.08,,,-1
63,SRR23143753,31.8673,32.1302,32.3931,2,32.2617,31.9988,,,5192
64,SRR23143753,31.8758,32.1775,32.4792,2,32.3283,32.0266,,,-5192
65,SRR23143753,31.9027,32.0815,32.2603,2,32.1709,31.9921,,,0
66,SRR23143753,31.8043,32.1417,32.4791,2,32.3104,31.973,,,0
67,SRR23143753,31.6386,32.0088,32.3791,2,32.194,31.8237,,,0
68,SRR23143753,31.7396,32.0954,32.4511,2,32.2732,31.9175,,,0
69,SRR23143753,31.76,32.0055,32.251,2,32.1283,31.8828,,,0
70,SRR23143753,31.8191,32.0467,32.2743,2,32.1605,31.9329,,,0
71,SRR23143753,31.6986,31.9402,32.1819,2,32.0611,31.8194,,,0
72,SRR23143753,31.8059,32.0167,32.2274,2,32.122,31.9113,,,0
73,SRR23143753,31.8338,31.887,31.9402,2,31.9136,31.8604,,,0
74,SRR23143753,31.7816,31.8928,32.004,2,31.9484,31.8372,,,0
75,SRR23143753,31.5557,31.7186,31.8815,2,31.8,31.6371,,,0
76,SRR23143753,31.0884,31.5515,32.0146,2,31.783,31.3199,,,0
77,SRR23143753,30.2742,31.2528,32.2314,2,31.7421,30.7635,,,0
78,SRR23143753,30.2403,31.2523,32.2642,2,31.7582,30.7463,,,0
79,SRR23143753,30.3926,31.2388,32.0849,2,31.6618,30.8157,,,0
80,SRR23143753,30.291,31.2641,32.2373,2,31.7507,30.7776,,,0
81,SRR23143753,29.8968,31.1005,32.3041,2,31.7023,30.4986,,,0
82,SRR23143753,30.0748,31.1951,32.3154,2,31.7552,30.6349,,,0
83,SRR23143753,29.7526,31.028,32.3034,2,31.6657,30.3903,,,0
84,SRR23143753,29.6888,31.0562,32.4236,2,31.7399,30.3725,,,0
85,SRR23143753,29.7495,31.0194,32.2894,2,31.6544,30.3845,,,0
86,SRR23143753,29.8103,31.0754,32.3404,2,31.7079,30.4428,,,0
87,SRR23143753,29.4664,30.8887,32.3109,2,31.5998,30.1775,,,0
88,SRR23143753,29.4986,30.9463,32.394,2,31.6702,30.2225,,,0
89,SRR23143753,29.4001,30.8185,32.2369,2,31.5277,30.1093,,,0
90,SRR23143753,29.4348,30.8953,32.3558,2,31.6255,30.1651,,,0
91,SRR23143753,29.0689,30.6737,32.2785,2,31.4761,29.8713,,,18
92,SRR23143753,29.1515,30.7039,32.2563,2,31.4801,29.9277,,,-18
93,SRR23143753,29.0177,30.6104,32.2032,2,31.4068,29.8141,,,10311
94,SRR23143753,29.0031,30.6487,32.2943,2,31.4715,29.8259,,,-10311
95,SRR23143753,28.9286,30.5733,32.218,2,31.3956,29.7509,,,0
96,SRR23143753,29.2263,30.6784,32.1305,2,31.4045,29.9524,,,0
97,SRR23143753,28.8737,30.5305,32.1872,2,31.3588,29.7021,,,0
98,SRR23143753,28.8293,30.5112,32.1932,2,31.3522,29.6703,,,0
99,SRR23143753,28.8665,30.5109,32.1552,2,31.333,29.6887,,,1
100,SRR23143753,28.8461,30.505,32.1638,2,31.3344,29.6756,,,-1
101,SRR23143753,28.2139,30.2327,32.2514,2,31.2421,29.2233,,,0
102,SRR23143753,27.5886,30.0213,32.4541,2,31.2377,28.805,,,0
103,SRR23143753,27.0293,29.753,32.4768,2,31.1149,28.3912,,,0
104,SRR23143753,26.9322,29.6997,32.4673,2,31.0835,28.316,,,0
105,SRR23143753,27.1702,29.6003,32.0304,2,30.8154,28.3853,,,0
106,SRR23143753,27.7917,29.6017,31.4118,2,30.5067,28.6967,,,0
107,SRR23143753,28.5319,29.5036,30.4753,2,29.9894,29.0177,,,0
108,SRR23143753,28.8992,29.6061,30.313,2,29.9595,29.2526,,,0
109,SRR23143753,29.0658,29.7837,30.5015,2,30.1426,29.4247,,,0
110,SRR23143753,29.2614,30.0222,30.783,2,30.4026,29.6418,,,0
111,SRR23143753,29.2324,30.0603,30.8882,2,30.4743,29.6463,,,0
112,SRR23143753,29.1163,30.1943,31.2723,2,30.7333,29.6553,,,0
113,SRR23143753,28.861,30.1495,31.438,2,30.7938,29.5053,,,0
114,SRR23143753,28.6726,30.164,31.6555,2,30.9098,29.4183,,,0
115,SRR23143753,28.5985,30.1251,31.6518,2,30.8884,29.3618,,,0
