pos,SRR,low_mean,mean,high_mean,2,max,min,3,1,num_reads,avg_phred_score
0,SRR23143753,32.5828,32.693,32.8032,Max,32.7481,32.6379,Min,Mean,2,31.5587
1,SRR23143753,32.6914,33.0303,33.3691,Max,33.1997,32.8609,Min,Mean,3,31.5587
2,SRR23143753,32.7333,32.9525,33.1717,Max,33.0621,32.8429,Min,Mean,-5,31.5587
3,SRR23143753,32.7943,32.9033,33.0122,Max,32.9577,32.8488,Min,Mean,0,31.5587
4,SRR23143753,32.6601,32.9439,33.2278,Max,33.0859,32.802,Min,Mean,0,31.5587
5,SRR23143753,32.8024,33.1242,33.4459,Max,33.2851,32.9633,Min,Mean,0,31.5587
6,SRR23143753,32.7044,33.046,33.3876,Max,33.2168,32.8752,Min,Mean,0,31.5587
7,SRR23143753,32.7326,33.0703,33.408,Max,33.2391,32.9014,Min,Mean,0,31.5587
8,SRR23143753,32.8543,33.0876,33.3209,Max,33.2042,32.9709,Min,Mean,0,31.5587
9,SRR23143753,32.7646,33.1343,33.5039,Max,33.3191,32.9494,Min,Mean,0,31.5587
10,SRR23143753,32.8368,33.1825,33.5282,Max,33.3554,33.0096,Min,Mean,0,31.5587
11,SRR23143753,32.7201,33.11,33.4999,Max,33.3049,32.915,Min,Mean,0,31.5587
12,SRR23143753,32.7759,33.1393,33.5028,Max,33.321,32.9576,Min,Mean,0,31.5587
13,SRR23143753,32.7915,33.1431,33.4948,Max,33.319,32.9673,Min,Mean,0,31.5587
14,SRR23143753,32.7659,33.1269,33.4878,Max,33.3073,32.9464,Min,Mean,0,31.5587
15,SRR23143753,32.7635,33.0837,33.4038,Max,33.2437,32.9236,Min,Mean,0,31.5587
16,SRR23143753,32.7039,33.0834,33.463,Max,33.2732,32.8936,Min,Mean,0,31.5587
17,SRR23143753,32.6585,33.0876,33.5167,Max,33.3022,32.873,Min,Mean,0,31.5587
18,SRR23143753,32.6909,33.0773,33.4636,Max,33.2705,32.8841,Min,Mean,11127,31.5587
19,SRR23143753,32.5787,33.0449,33.511,Max,33.2779,32.8118,Min,Mean,-11127,31.5587
20,SRR23143753,32.6683,33.0563,33.4443,Max,33.2503,32.8623,Min,Mean,0,31.5587
21,SRR23143753,32.6585,33.0523,33.446,Max,33.2491,32.8554,Min,Mean,0,31.5587
22,SRR23143753,32.6108,33.0065,33.4021,Max,33.2043,32.8087,Min,Mean,0,31.5587
23,SRR23143753,32.5976,33.0065,33.4153,Max,33.2109,32.8021,Min,Mean,0,31.5587
24,SRR23143753,32.5258,32.9556,33.3854,Max,33.1705,32.7407,Min,Mean,0,31.5587
25,SRR23143753,32.7145,32.9775,33.2404,Max,33.1089,32.846,Min,Mean,0,31.5587
26,SRR23143753,32.6497,32.9723,33.295,Max,33.1336,32.811,Min,Mean,0,31.5587
27,SRR23143753,32.6229,32.9163,33.2098,Max,33.063,32.7696,Min,Mean,0,31.5587
28,SRR23143753,32.5781,32.9035,33.229,Max,33.0663,32.7408,Min,Mean,0,31.5587
29,SRR23143753,32.5558,32.8556,33.1553,Max,33.0054,32.7057,Min,Mean,0,31.5587
30,SRR23143753,32.5108,32.8192,33.1276,Max,32.9734,32.665,Min,Mean,0,31.5587
31,SRR23143753,32.4557,32.8143,33.173,Max,32.9937,32.635,Min,Mean,0,31.5587
32,SRR23143753,32.452,32.7643,33.0766,Max,32.9204,32.6081,Min,Mean,0,31.5587
33,SRR23143753,32.4525,32.7731,33.0938,Max,32.9335,32.6128,Min,Mean,0,31.5587
34,SRR23143753,32.4652,32.7408,33.0165,Max,32.8787,32.603,Min,Mean,0,31.5587
35,SRR23143753,32.4182,32.718,33.0178,Max,32.8679,32.5681,Min,Mean,0,31.5587
36,SRR23143753,32.5596,32.7011,32.8426,Max,32.7719,32.6303,Min,Mean,0,31.5587
37,SRR23143753,32.2993,32.6691,33.039,Max,32.8541,32.4842,Min,Mean,0,31.5587
38,SRR23143753,32.422,32.6999,32.9778,Max,32.8388,32.5609,Min,Mean,0,31.5587
39,SRR23143753,32.3263,32.6514,32.9765,Max,32.814,32.4889,Min,Mean,0,31.5587
40,SRR23143753,32.2527,32.5888,32.9248,Max,32.7568,32.4207,Min,Mean,10038,31.5587
41,SRR23143753,32.2169,32.5292,32.8415,Max,32.6853,32.373,Min,Mean,-10038,31.5587
42,SRR23143753,32.2847,32.5738,32.8629,Max,32.7183,32.4292,Min,Mean,0,31.5587
43,SRR23143753,32.3427,32.5617,32.7806,Max,32.6711,32.4522,Min,Mean,0,31.5587
44,SRR23143753,32.2745,32.5429,32.8113,Max,32.6771,32.4087,Min,Mean,0,31.5587
45,SRR23143753,32.2966,32.4582,32.6198,Max,32.539,32.3774,Min,Mean,0,31.5587
46,SRR23143753,32.2835,32.4031,32.5226,Max,32.4629,32.3433,Min,Mean,0,31.5587
47,SRR23143753,32.2171,32.4038,32.5905,Max,32.4971,32.3104,Min,Mean,0,31.5587
48,SRR23143753,32.1398,32.4002,32.6607,Max,32.5305,32.27,Min,Mean,0,31.5587
49,SRR23143753,32.1355,32.3709,32.6063,Max,32.4886,32.2532,Min,Mean,0,31.5587
50,SRR23143753,32.156,32.408,32.66,Max,32.534,32.282,Min,Mean,0,31.5587
51,SRR23143753,32.082,32.3513,32.6205,Max,32.4859,32.2167,Min,Mean,0,31.5587
52,SRR23143753,32.1011,32.4112,32.7214,Max,32.5663,32.2562,Min,Mean,0,31.5587
53,SRR23143753,32.0303,32.3261,32.6219,Max,32.474,32.1782,Min,Mean,0,31.5587
54,SRR23143753,32.016,32.3532,32.6903,Max,32.5218,32.1846,Min,Mean,0,31.5587
55,SRR23143753,32.016,32.2526,32.4892,Max,32.3709,32.1343,Min,Mean,0,31.5587
56,SRR23143753,31.9933,32.3367,32.6802,Max,32.5085,32.165,Min,Mean,0,31.5587
57,SRR23143753,32.0146,32.2405,32.4664,Max,32.3535,32.1276,Min,Mean,0,31.5587
58,SRR23143753,31.9494,32.2916,32.6338,Max,32.4627,32.1205,Min,Mean,5227,31.5587
59,SRR23143753,31.7093,32.1513,32.5933,Max,32.3723,31.9303,Min,Mean,-5227,31.5587
60,SRR23143753,31.9982,32.2965,32.5948,Max,32.4456,32.1474,Min,Mean,0,31.5587
61,SRR23143753,31.9047,32.17,32.4352,Max,32.3026,32.0373,Min,Mean,1,31.5587
62,SRR23143753,31.9448,32.2152,32.4856,Max,32.3504,32.08,Min,Mean,-1,31.5587
63,SRR23143753,31.8673,32.1302,32.3931,Max,32.2617,31.9988,Min,Mean,5192,31.5587
64,SRR23143753,31.8758,32.1775,32.4792,Max,32.3283,32.0266,Min,Mean,-5192,31.5587
65,SRR23143753,31.9027,32.0815,32.2603,Max,32.1709,31.9921,Min,Mean,0,31.5587
66,SRR23143753,31.8043,32.1417,32.4791,Max,32.3104,31.973,Min,Mean,0,31.5587
67,SRR23143753,31.6386,32.0088,32.3791,Max,32.194,31.8237,Min,Mean,0,31.5587
68,SRR23143753,31.7396,32.0954,32.4511,Max,32.2732,31.9175,Min,Mean,0,31.5587
69,SRR23143753,31.76,32.0055,32.251,Max,32.1283,31.8828,Min,Mean,0,31.5587
70,SRR23143753,31.8191,32.0467,32.2743,Max,32.1605,31.9329,Min,Mean,0,31.5587
71,SRR23143753,31.6986,31.9402,32.1819,Max,32.0611,31.8194,Min,Mean,0,31.5587
72,SRR23143753,31.8059,32.0167,32.2274,Max,32.122,31.9113,Min,Mean,0,31.5587
73,SRR23143753,31.8338,31.887,31.9402,Max,31.9136,31.8604,Min,Mean,0,31.5587
74,SRR23143753,31.7816,31.8928,32.004,Max,31.9484,31.8372,Min,Mean,0,31.5587
75,SRR23143753,31.5557,31.7186,31.8815,Max,31.8,31.6371,Min,Mean,0,31.5587
76,SRR23143753,31.0884,31.5515,32.0146,Max,31.783,31.3199,Min,Mean,0,31.5587
77,SRR23143753,30.2742,31.2528,32.2314,Max,31.7421,30.7635,Min,Mean,0,31.5587
78,SRR23143753,30.2403,31.2523,32.2642,Max,31.7582,30.7463,Min,Mean,0,31.5587
79,SRR23143753,30.3926,31.2388,32.0849,Max,31.6618,30.8157,Min,Mean,0,31.5587
80,SRR23143753,30.291,31.2641,32.2373,Max,31.7507,30.7776,Min,Mean,0,31.5587
81,SRR23143753,29.8968,31.1005,32.3041,Max,31.7023,30.4986,Min,Mean,0,31.5587
82,SRR23143753,30.0748,31.1951,32.3154,Max,31.7552,30.6349,Min,Mean,0,31.5587
83,SRR23143753,29.7526,31.028,32.3034,Max,31.6657,30.3903,Min,Mean,0,31.5587
84,SRR23143753,29.6888,31.0562,32.4236,Max,31.7399,30.3725,Min,Mean,0,31.5587
85,SRR23143753,29.7495,31.0194,32.2894,Max,31.6544,30.3845,Min,Mean,0,31.5587
86,SRR23143753,29.8103,31.0754,32.3404,Max,31.7079,30.4428,Min,Mean,0,31.5587
87,SRR23143753,29.4664,30.8887,32.3109,Max,31.5998,30.1775,Min,Mean,0,31.5587
88,SRR23143753,29.4986,30.9463,32.394,Max,31.6702,30.2225,Min,Mean,0,31.5587
89,SRR23143753,29.4001,30.8185,32.2369,Max,31.5277,30.1093,Min,Mean,0,31.5587
90,SRR23143753,29.4348,30.8953,32.3558,Max,31.6255,30.1651,Min,Mean,0,31.5587
91,SRR23143753,29.0689,30.6737,32.2785,Max,31.4761,29.8713,Min,Mean,18,31.5587
92,SRR23143753,29.1515,30.7039,32.2563,Max,31.4801,29.9277,Min,Mean,-18,31.5587
93,SRR23143753,29.0177,30.6104,32.2032,Max,31.4068,29.8141,Min,Mean,10311,31.5587
94,SRR23143753,29.0031,30.6487,32.2943,Max,31.4715,29.8259,Min,Mean,-10311,31.5587
95,SRR23143753,28.9286,30.5733,32.218,Max,31.3956,29.7509,Min,Mean,0,31.5587
96,SRR23143753,29.2263,30.6784,32.1305,Max,31.4045,29.9524,Min,Mean,0,31.5587
97,SRR23143753,28.8737,30.5305,32.1872,Max,31.3588,29.7021,Min,Mean,0,31.5587
98,SRR23143753,28.8293,30.5112,32.1932,Max,31.3522,29.6703,Min,Mean,0,31.5587
99,SRR23143753,28.8665,30.5109,32.1552,Max,31.333,29.6887,Min,Mean,1,31.5587
100,SRR23143753,28.8461,30.505,32.1638,Max,31.3344,29.6756,Min,Mean,-1,31.5587
101,SRR23143753,28.2139,30.2327,32.2514,Max,31.2421,29.2233,Min,Mean,0,31.5587
102,SRR23143753,27.5886,30.0213,32.4541,Max,31.2377,28.805,Min,Mean,0,31.5587
103,SRR23143753,27.0293,29.753,32.4768,Max,31.1149,28.3912,Min,Mean,0,31.5587
104,SRR23143753,26.9322,29.6997,32.4673,Max,31.0835,28.316,Min,Mean,0,31.5587
105,SRR23143753,27.1702,29.6003,32.0304,Max,30.8154,28.3853,Min,Mean,0,31.5587
106,SRR23143753,27.7917,29.6017,31.4118,Max,30.5067,28.6967,Min,Mean,0,31.5587
107,SRR23143753,28.5319,29.5036,30.4753,Max,29.9894,29.0177,Min,Mean,0,31.5587
108,SRR23143753,28.8992,29.6061,30.313,Max,29.9595,29.2526,Min,Mean,0,31.5587
109,SRR23143753,29.0658,29.7837,30.5015,Max,30.1426,29.4247,Min,Mean,0,31.5587
110,SRR23143753,29.2614,30.0222,30.783,Max,30.4026,29.6418,Min,Mean,0,31.5587
111,SRR23143753,29.2324,30.0603,30.8882,Max,30.4743,29.6463,Min,Mean,0,31.5587
112,SRR23143753,29.1163,30.1943,31.2723,Max,30.7333,29.6553,Min,Mean,0,31.5587
113,SRR23143753,28.861,30.1495,31.438,Max,30.7938,29.5053,Min,Mean,0,31.5587
114,SRR23143753,28.6726,30.164,31.6555,Max,30.9098,29.4183,Min,Mean,0,31.5587
115,SRR23143753,28.5985,30.1251,31.6518,Max,30.8884,29.3618,Min,Mean,0,31.5587
116,SRR23143753,28.7708,30.1793,31.5878,Max,30.8835,29.475,Min,Mean,0,31.5587
117,SRR23143753,28.9898,30.1348,31.2798,Max,30.7073,29.5623,Min,Mean,0,31.5587
118,SRR23143753,29.3161,30.1274,30.9386,Max,30.533,29.7218,Min,Mean,0,31.5587
119,SRR23143753,29.1143,30.0985,31.0828,Max,30.5907,29.6064,Min,Mean,0,31.5587
120,SRR23143753,29.4209,30.3008,31.1806,Max,30.7407,29.8608,Min,Mean,0,31.5587
121,SRR23143753,29.4722,30.3116,31.1509,Max,30.7313,29.8919,Min,Mean,28,31.5587
