pos,SRR,low_mean,mean,high_mean,2,max,min,3,1,num_reads,avg_phred_score
0,SRR23143781,32.4325,32.7281,33.0237,Max,32.8759,32.5803,Min,Mean,6,32.09935
1,SRR23143781,32.938,33.0915,33.245,Max,33.1683,33.0147,Min,Mean,9,32.09935
2,SRR23143781,32.9596,33.0417,33.1238,Max,33.0827,33.0006,Min,Mean,-15,32.09935
3,SRR23143781,32.8938,33.0084,33.1231,Max,33.0658,32.9511,Min,Mean,0,32.09935
4,SRR23143781,32.9137,33.0202,33.1266,Max,33.0734,32.9669,Min,Mean,0,32.09935
5,SRR23143781,32.9535,33.1704,33.3873,Max,33.2789,33.062,Min,Mean,0,32.09935
6,SRR23143781,32.9173,33.0994,33.2814,Max,33.1904,33.0083,Min,Mean,0,32.09935
7,SRR23143781,32.8742,33.0979,33.3217,Max,33.2098,32.9861,Min,Mean,0,32.09935
8,SRR23143781,33.1075,33.1475,33.1874,Max,33.1674,33.1275,Min,Mean,0,32.09935
9,SRR23143781,33.0061,33.2108,33.4156,Max,33.3132,33.1085,Min,Mean,0,32.09935
10,SRR23143781,33.1195,33.2926,33.4657,Max,33.3792,33.2061,Min,Mean,5,32.09935
11,SRR23143781,32.9814,33.1968,33.4123,Max,33.3046,33.0891,Min,Mean,-5,32.09935
12,SRR23143781,33.0404,33.247,33.4536,Max,33.3503,33.1437,Min,Mean,0,32.09935
13,SRR23143781,33.0079,33.2302,33.4525,Max,33.3413,33.119,Min,Mean,0,32.09935
14,SRR23143781,32.964,33.1934,33.4228,Max,33.3081,33.0787,Min,Mean,0,32.09935
15,SRR23143781,33.0193,33.1956,33.3718,Max,33.2837,33.1074,Min,Mean,0,32.09935
16,SRR23143781,32.982,33.2032,33.4244,Max,33.3138,33.0926,Min,Mean,0,32.09935
17,SRR23143781,32.9852,33.2197,33.4542,Max,33.337,33.1025,Min,Mean,0,32.09935
18,SRR23143781,32.9572,33.1988,33.4403,Max,33.3195,33.078,Min,Mean,35820,32.09935
19,SRR23143781,32.7023,33.1029,33.5034,Max,33.3031,32.9026,Min,Mean,-35820,32.09935
20,SRR23143781,32.9465,33.1955,33.4444,Max,33.3199,33.071,Min,Mean,0,32.09935
21,SRR23143781,32.95,33.1721,33.3942,Max,33.2832,33.061,Min,Mean,0,32.09935
22,SRR23143781,32.95,33.1978,33.4455,Max,33.3216,33.0739,Min,Mean,0,32.09935
23,SRR23143781,32.9256,33.1875,33.4494,Max,33.3185,33.0566,Min,Mean,0,32.09935
24,SRR23143781,32.8848,33.1321,33.3794,Max,33.2558,33.0085,Min,Mean,0,32.09935
25,SRR23143781,32.995,33.1585,33.322,Max,33.2402,33.0767,Min,Mean,0,32.09935
26,SRR23143781,32.9522,33.1655,33.3788,Max,33.2722,33.0589,Min,Mean,0,32.09935
27,SRR23143781,32.9532,33.1554,33.3576,Max,33.2565,33.0543,Min,Mean,0,32.09935
28,SRR23143781,32.929,33.1505,33.372,Max,33.2613,33.0398,Min,Mean,0,32.09935
29,SRR23143781,32.9024,33.0893,33.2762,Max,33.1827,32.9958,Min,Mean,0,32.09935
30,SRR23143781,32.9139,33.0947,33.2755,Max,33.1851,33.0043,Min,Mean,0,32.09935
31,SRR23143781,32.8444,33.0628,33.2813,Max,33.172,32.9536,Min,Mean,0,32.09935
32,SRR23143781,32.8286,33.0485,33.2685,Max,33.1585,32.9386,Min,Mean,0,32.09935
33,SRR23143781,32.7996,33.0499,33.3002,Max,33.175,32.9247,Min,Mean,0,32.09935
34,SRR23143781,32.7886,33.0024,33.2162,Max,33.1093,32.8955,Min,Mean,0,32.09935
35,SRR23143781,32.7636,32.981,33.1984,Max,33.0897,32.8723,Min,Mean,0,32.09935
36,SRR23143781,32.9501,33.005,33.0598,Max,33.0324,32.9775,Min,Mean,0,32.09935
