sra_run_id,A_fr,qA,C_fr,qC,G_fr,qG,T_fr,qT,avg_phred_score,highOutlierCount,lowOutlierCount,Position Outlier Count,Num Reads,min Read Length,avg_read_length,max_read_length,gc Content
SRR23143753,0.2304,31.5182,0.2248,31.56925,0.2943,31.7812,0.2505,31.3236,31.5587,0.0,0.0,0.0,717056.0,10.0,150.9568,151.0,0.5190999999999999
SRR23143754,0.2151,30.46275,0.2115,30.9483,0.3524,31.69255,0.221,30.10635,30.9204,0.0,0.0,0.0,386335.0,10.0,150.95345,151.0,0.5639000000000001
SRR23143776,0.30365,30.5226,0.1586,29.596,0.22175,29.528350000000003,0.31605,27.72465,29.27095,0.0,0.0,0.0,681340.0,10.0,150.9586,151.0,0.38035
SRR23143778,0.18645,30.99765,0.23765,31.43795,0.37885,32.0193,0.19715,31.3285,31.5553,0.0,0.0,0.0,1045883.0,10.0,150.9539,151.0,0.6164000000000001
SRR23143779,0.2327,30.38925,0.1803,30.64985,0.3211,30.96245,0.2659,28.57445,30.13995,0.0,0.0,0.0,425603.5,2.0,150.95425,151.0,0.5014
SRR23143780,0.2284999999999999,29.91875,0.21985,29.9469,0.32155,30.97035,0.2301,29.17125,30.09015,0.0,0.0,0.0,458894.0,1.5,150.95505,151.0,0.54145
SRR23143781,0.22515,32.02065,0.2396,32.420199999999994,0.276,32.16185,0.25925,31.8051,32.09935,0.0,0.0,0.0,2672729.0,10.0,150.95884999999998,151.0,0.5156000000000001
SRR23143782,0.2588,31.4772,0.2309,31.625300000000003,0.2422,31.6572,0.2681,30.9976,31.42755,0.0,0.0,0.0,1890126.0,10.0,150.9598,151.0,0.47315
SRR23143783,0.2474,31.45205,0.2445,31.54925,0.25265,31.597250000000003,0.2555,30.83895,31.3544,0.0,0.0,0.0,2124408.0,10.0,150.95795,151.0,0.4971
SRR23143784,0.2172,31.26685,0.217,31.7374,0.32205,31.85945,0.24375,30.85715,31.4605,0.0,0.0,0.0,820605.5,1.5,150.956,151.0,0.53905
SRR23143785,0.2385999999999999,31.4141,0.25375,31.60055,0.2639,31.7907,0.2438,31.31415,31.5386,0.0,0.0,0.0,2810202.0,10.0,150.95925,151.0,0.5177
SRR23143786,0.22565,29.51955,0.2074,29.7937,0.32655,30.68255,0.2405,29.46135,29.9458,0.0,0.0,0.0,181991.0,90.5,150.96975,151.0,0.53395
SRR23143787,0.2457,29.918,0.2354,29.4263,0.26615,30.33675,0.25275,29.2418,29.74165,0.0,0.0,0.0,1445622.0,1.5,150.9579,151.0,0.5015499999999999
SRR23143788,0.33185,30.76225,0.12695,29.5524,0.18835,28.3495,0.35285,27.01555,28.83875,0.0,0.0,0.0,1302803.0,2.0,150.94074999999998,151.0,0.3153
SRR23143789,0.23785,29.49585,0.1795999999999999,30.21465,0.3339499999999999,30.96245,0.2486499999999999,29.5759,30.13775,0.0,0.0,0.0,357160.5,25.5,150.97175,151.0,0.5135
SRR23143790,0.2567,31.72535,0.23895,31.73215,0.2438,31.79005,0.26055,31.75195,31.7503,0.0,0.0,0.0,3801119.0,10.0,150.9583,151.0,0.48275
SRR23143791,0.2592,31.78435,0.21885,32.27695,0.23765,31.32655,0.2844,29.9908,31.278,0.0,0.0,0.0,3160594.0,10.0,150.95475,151.0,0.45645
SRR23143792,0.23295,30.9037,0.1891,31.51775,0.34565,31.81595,0.2323,29.693150000000003,31.0571,0.0,0.0,0.0,632738.0,10.0,150.9541,151.0,0.5347500000000001
SRR23143793,0.25145,31.60785,0.23065,31.494,0.25055,31.56555,0.2673999999999999,31.111600000000003,31.4372,0.0,0.0,0.0,1848895.0,1.5,150.95794999999998,151.0,0.4812
SRR23143794,0.3238999999999999,30.09775,0.1231,28.9892,0.21365,29.0163,0.3394,27.11765,28.7171,0.0,0.0,0.0,1066817.0,1.5,150.95794999999998,151.0,0.3367
SRR23143795,0.2609,30.67905,0.20285,30.1378,0.2635499999999999,30.32995,0.27275,28.89245,29.99205,0.0,0.0,0.0,706174.0,10.5,150.9574,151.0,0.4664
SRR23143796,0.2556,30.26875,0.2172,29.87695,0.2593,30.43905,0.26795,28.99955,29.8893,0.0,0.0,0.0,836222.0,10.5,150.95725,151.0,0.47645
SRR23143797,0.24825,30.82815,0.23155,31.0658,0.2663,31.17365,0.2539,31.3412,31.106,0.0,0.0,0.0,402089.5,22.0,150.97135,151.0,0.49785
SRR23143798,0.2917,29.1472,0.19135,28.21895,0.2513999999999999,29.52995,0.2655499999999999,28.2104,28.83695,0.0,0.0,0.0,391049.0,22.0,150.97225,151.0,0.44275
SRR23143799,0.25665,29.48435,0.1869,29.6894,0.2916999999999999,29.7829,0.26475,28.3125,29.31925,0.0,0.0,0.0,270673.0,25.5,150.9709,151.0,0.4786
SRR23143800,0.2484,28.880000000000003,0.2136,28.20485,0.28005,29.65845,0.25795,28.7019,28.91555,0.0,0.0,0.0,497600.0,26.5,150.97175,151.0,0.49365
SRR23143801,0.2151,30.095350000000003,0.2440999999999999,30.5135,0.30015,30.7235,0.24065,29.83445,30.3229,0.0,0.0,0.0,212806.0,30.0,150.97065,151.0,0.5442
SRR23143802,0.23685,30.2693,0.2017,30.5772,0.31845,31.07005,0.24305,30.368,30.61205,0.0,0.0,0.0,334681.5,23.0,150.97115000000002,151.0,0.52015
SRR23143803,0.2288,31.53065,0.2255,31.8269,0.29525,31.8369,0.2505,30.8007,31.5052,0.0,0.0,0.0,638364.0,2.0,150.9568,151.0,0.52075
SRR23143804,0.27625,30.02715,0.17865,28.8367,0.2549,29.6137,0.29025,27.62825,29.0124,0.0,0.0,0.0,287498.0,10.0,150.95614999999998,151.0,0.4335
