pos,SRR,low_mean,mean,high_mean,2,max,min,3,1,num_reads
0,SRR23143804,32.2514,32.5343,32.8171,Max,32.6757,32.3928,Min,Mean,1
1,SRR23143804,32.1799,32.8003,33.4206,Max,33.1104,32.4901,Min,Mean,2
2,SRR23143804,32.4346,32.7231,33.0116,Max,32.8674,32.5789,Min,Mean,-3
3,SRR23143804,32.7511,32.9578,33.1646,Max,33.0612,32.8545,Min,Mean,0
4,SRR23143804,31.6049,31.9257,32.2465,Max,32.0861,31.7653,Min,Mean,0
5,SRR23143804,32.642,33.0861,33.5302,Max,33.3081,32.864,Min,Mean,0
6,SRR23143804,32.4969,32.9957,33.4945,Max,33.2451,32.7463,Min,Mean,0
7,SRR23143804,32.5042,33.0077,33.5112,Max,33.2595,32.756,Min,Mean,0
8,SRR23143804,32.6195,33.0543,33.489,Max,33.2717,32.8369,Min,Mean,0
9,SRR23143804,32.5053,33.0824,33.6595,Max,33.371,32.7939,Min,Mean,0
10,SRR23143804,32.5867,33.0985,33.6104,Max,33.3545,32.8426,Min,Mean,0
11,SRR23143804,32.6324,33.1429,33.6535,Max,33.3982,32.8876,Min,Mean,0
12,SRR23143804,32.6374,33.1247,33.6119,Max,33.3683,32.881,Min,Mean,0
13,SRR23143804,32.6484,33.1277,33.607,Max,33.3674,32.8881,Min,Mean,0
14,SRR23143804,32.5611,33.098,33.6349,Max,33.3665,32.8295,Min,Mean,0
15,SRR23143804,32.6029,33.0724,33.5418,Max,33.3071,32.8376,Min,Mean,0
16,SRR23143804,32.5647,33.082,33.5992,Max,33.3406,32.8234,Min,Mean,0
17,SRR23143804,32.5288,33.1127,33.6965,Max,33.4046,32.8207,Min,Mean,0
18,SRR23143804,32.4764,33.039,33.6015,Max,33.3203,32.7577,Min,Mean,4690
19,SRR23143804,31.9453,32.8989,33.8525,Max,33.3757,32.4221,Min,Mean,-4690
20,SRR23143804,32.4434,33.0046,33.5659,Max,33.2852,32.724,Min,Mean,0
21,SRR23143804,32.3903,33.0176,33.6448,Max,33.3312,32.7039,Min,Mean,0
22,SRR23143804,32.2582,32.8836,33.509,Max,33.1963,32.5709,Min,Mean,0
23,SRR23143804,32.1399,32.8605,33.5811,Max,33.2208,32.5002,Min,Mean,0
24,SRR23143804,32.0871,32.7534,33.4197,Max,33.0866,32.4202,Min,Mean,0
25,SRR23143804,32.1536,32.7425,33.3314,Max,33.037,32.448,Min,Mean,0
26,SRR23143804,31.798,32.5682,33.3385,Max,32.9534,32.1831,Min,Mean,0
27,SRR23143804,31.727,32.5074,33.2878,Max,32.8976,32.1172,Min,Mean,0
28,SRR23143804,31.5077,32.3821,33.2566,Max,32.8194,31.9449,Min,Mean,0
29,SRR23143804,31.6641,32.322,32.9799,Max,32.6509,31.993,Min,Mean,0
30,SRR23143804,31.3045,31.995,32.6854,Max,32.3402,31.6497,Min,Mean,0
31,SRR23143804,31.3794,32.1288,32.8783,Max,32.5035,31.7541,Min,Mean,0
32,SRR23143804,30.9256,31.7361,32.5467,Max,32.1414,31.3309,Min,Mean,0
33,SRR23143804,31.0191,31.8555,32.6918,Max,32.2736,31.4373,Min,Mean,0
34,SRR23143804,30.8651,31.543,32.2209,Max,31.8819,31.204,Min,Mean,0
35,SRR23143804,30.8415,31.6237,32.4058,Max,32.0148,31.2326,Min,Mean,0
36,SRR23143804,31.0938,31.5138,31.9338,Max,31.7238,31.3038,Min,Mean,0
37,SRR23143804,29.9724,31.384,32.7956,Max,32.0898,30.6782,Min,Mean,0
38,SRR23143804,30.9673,31.5706,32.1738,Max,31.8722,31.2689,Min,Mean,0
39,SRR23143804,30.3297,31.3275,32.3253,Max,31.8264,30.8286,Min,Mean,0
40,SRR23143804,30.3591,31.0993,31.8395,Max,31.4694,30.7292,Min,Mean,4257
41,SRR23143804,30.8799,31.102,31.3241,Max,31.2131,30.991,Min,Mean,-4257
42,SRR23143804,30.9707,31.3166,31.6625,Max,31.4895,31.1436,Min,Mean,0
43,SRR23143804,30.8975,31.0098,31.1221,Max,31.066,30.9537,Min,Mean,0
44,SRR23143804,30.3933,30.951,31.5087,Max,31.2299,30.6722,Min,Mean,0
45,SRR23143804,30.2574,30.7523,31.2473,Max,30.9998,30.5049,Min,Mean,0
46,SRR23143804,30.6083,30.6961,30.784,Max,30.7401,30.6522,Min,Mean,0
47,SRR23143804,30.2919,30.7279,31.1639,Max,30.9459,30.5099,Min,Mean,0
48,SRR23143804,29.8328,30.5974,31.362,Max,30.9797,30.2151,Min,Mean,0
49,SRR23143804,29.9086,30.4943,31.08,Max,30.7872,30.2015,Min,Mean,0
50,SRR23143804,29.9569,30.4976,31.0383,Max,30.768,30.2272,Min,Mean,0
51,SRR23143804,29.9969,30.5288,31.0608,Max,30.7948,30.2629,Min,Mean,0
52,SRR23143804,30.1087,30.7178,31.3269,Max,31.0223,30.4132,Min,Mean,0
53,SRR23143804,29.6632,30.4796,31.296,Max,30.8878,30.0714,Min,Mean,0
54,SRR23143804,29.7259,30.4459,31.1659,Max,30.8059,30.0859,Min,Mean,0
55,SRR23143804,29.824,30.0803,30.3365,Max,30.2084,29.9521,Min,Mean,0
56,SRR23143804,29.381,30.4266,31.4721,Max,30.9494,29.9038,Min,Mean,0
57,SRR23143804,29.3945,30.2608,31.1272,Max,30.694,29.8277,Min,Mean,0
58,SRR23143804,29.3864,30.3803,31.3743,Max,30.8773,29.8833,Min,Mean,2170
59,SRR23143804,28.9305,30.2239,31.5173,Max,30.8706,29.5772,Min,Mean,-2170
60,SRR23143804,29.7922,30.4887,31.1853,Max,30.837,30.1404,Min,Mean,0
61,SRR23143804,29.1337,30.0683,31.003,Max,30.5357,29.601,Min,Mean,1
62,SRR23143804,29.1553,30.2996,31.4439,Max,30.8718,29.7275,Min,Mean,-1
63,SRR23143804,29.1077,30.0447,30.9817,Max,30.5132,29.5762,Min,Mean,1957
64,SRR23143804,29.4626,30.1442,30.8258,Max,30.485,29.8034,Min,Mean,-1957
65,SRR23143804,29.3399,29.7863,30.2326,Max,30.0094,29.5631,Min,Mean,0
