organism_name,count
Escherichia coli,267
Staphylococcus aureus,157
Klebsiella pneumoniae,112
Zika virus,74
Zaire ebolavirus,73
Salmonella enterica,54
West Nile virus,52
Burkholderia multivorans,35
Pseudomonas aeruginosa,31
Bacillus cereus,28
Staphylococcus epidermidis,27
Bacillus anthracis,27
Yersinia pseudotuberculosis,26
Vibrio parahaemolyticus,25
Shigella flexneri,24
Achromobacter xylosoxidans,24
Dengue virus,24
Vibrio alginolyticus,23
Klebsiella aerogenes,23
Burkholderia cenocepacia,23
Bacillus thuringiensis,23
Staphylococcus hominis,22
Burkholderia thailandensis,22
Clostridioides difficile,21
Bacteroides fragilis,21
Acinetobacter baumannii,21
Bordetella pertussis,21
Proteus mirabilis,20
Listeria monocytogenes,20
Shigella sonnei,19
Pasteurella multocida,19
Enterobacter hormaechei,19
Citrobacter koseri,19
Klebsiella oxytoca,18
Neisseria meningitidis,18
Burkholderia mallei,18
Candida parapsilosis,18
Chryseobacterium indologenes,17
Streptococcus pyogenes,16
Providencia stuartii,16
Campylobacter jejuni,16
Acinetobacter pittii,16
Enterococcus faecalis,16
Stenotrophomonas maltophilia,15
Yersinia enterocolitica,15
Burkholderia dolosa,15
Achromobacter denitrificans,15
Enterococcus faecium,15
Francisella tularensis,15
Vibrio vulnificus,14
Burkholderia pseudomallei,14
Bordetella bronchiseptica,14
Morganella morganii,13
Corynebacterium amycolatum,13
Citrobacter amalonaticus,13
Mycolicibacterium smegmatis,12
Staphylococcus lugdunensis,12
Parabacteroides distasonis,12
Serratia marcescens,12
Helicobacter pylori,12
Serratia plymuthica,12
Vibrio cholerae,12
Streptococcus oralis,12
Raoultella planticola,12
Haemophilus influenzae,12
Clostridium sporogenes,12
Rhizobium pusense,11
Staphylococcus haemolyticus,11
Leishmania donovani,11
Klebsiella quasipneumoniae,11
Streptococcus salivarius,11
Pediococcus pentosaceus,11
Mycobacterium tuberculosis,11
Citrobacter braakii,11
Cupriavidus pauculus,11
Enterococcus hirae,11
Corynebacterium striatum,11
Hafnia alvei,11
Streptomyces californicus,10
Streptococcus agalactiae,10
Yersinia pestis,10
Lactococcus garvieae,10
Streptococcus gordonii,10
Lactococcus lactis,10
Sudan ebolavirus,10
Sphingobacterium multivorum,10
Staphylococcus pasteuri,10
Aeromonas enteropelogenes,10
Aeromonas caviae,10
Citrobacter freundii,10
Corynebacterium tuberculostearicum,10
Finegoldia magna,10
Brevibacterium casei,10
Clostridium perfringens,10
Enterococcus avium,10
Chromobacterium violaceum,10
Campylobacter coli,10
Streptococcus mutans,9
Staphylococcus saprophyticus,9
Vibrio harveyi,9
Streptococcus dysgalactiae,9
Proteus vulgaris,9
Prevotella melaninogenica,9
Pantoea agglomerans,9
Escherichia fergusonii,9
Delftia acidovorans,9
Corynebacterium glucuronolyticum,9
Bundibugyo ebolavirus,9
Acinetobacter lwoffii,9
Staphylococcus capitis,8
Staphylococcus equorum,8
Venezuelan equine encephalitis virus,8
Neisseria gonorrhoeae,8
Psychrobacter sanguinis,8
Lelliottia amnigena,8
Mycobacterium kansasii,8
Providencia rettgeri,8
Moraxella osloensis,8
Yersinia intermedia,8
Mycobacterium avium subsp. avium,8
Paracoccus yeei,8
Nocardia asteroides,8
Staphylococcus cohnii,8
Bordetella parapertussis,8
Burkholderia cepacia,8
Corynebacterium diphtheriae,8
Enterobacter asburiae,8
Corynebacterium urealyticum,8
Enterococcus casseliflavus,8
Acinetobacter johnsonii,8
Enterobacter bugandensis,8
Burkholderia gladioli,8
Erysipelatoclostridium ramosum,8
Burkholderia oklahomensis,8
Burkholderia vietnamiensis,8
Gordonia bronchialis,8
Vibrio mimicus,7
Klebsiella variicola,7
Streptococcus equinus,7
Staphylococcus pseudintermedius,7
Campylobacter ureolyticus,7
Bacteroides ovatus,7
Citrobacter portucalensis,7
Burkholderia glumae,7
Bacteroides thetaiotaomicron,7
Bacillus tropicus,7
Corynebacterium propinquum,7
Niallia circulans,6
Klebsiella michiganensis,6
Micrococcus luteus,6
Phocaeicola vulgatus,6
Mycobacteroides abscessus subsp. abscessus,6
Legionella anisa,6
Vibrio fluvialis,6
Pediococcus acidilactici,6
Pseudomonas putida,6
Mycobacterium intracellulare,6
Salmonella enterica subsp. enterica serovar Typhimurium,6
Streptococcus constellatus,6
Salmonella enterica subsp. enterica serovar Heidelberg,6
Staphylococcus carnosus,6
Legionella pneumophila,6
Jonesia denitrificans,6
Sphingobacterium spiritivorum,6
Aeromonas hydrophila,6
Corynebacterium minutissimum,6
Gardnerella vaginalis,6
Candida albicans,6
Enterobacter ludwigii,6
Citrobacter werkmanii,6
Acinetobacter ursingii,6
Corynebacterium kroppenstedtii,6
Pseudomonas oryzihabitans,5
Ross River virus,5
Mycobacteroides abscessus,5
Staphylococcus simulans,5
Moraxella catarrhalis,5
Peptoniphilus harei,5
