pos,mean-2stdev,mean,mean+2stdev,numFiles,max,min,highOutliers,lowOutliers,#reads
0,32.0045,34.5957,37.1870,2,35.8914,33.3001,"","",0
1,32.8958,34.8354,36.7750,2,35.8052,33.8656,"","",0
2,34.9022,35.6016,36.3009,2,35.9512,35.2519,"","",0
3,34.5087,35.3929,36.2771,2,35.8350,34.9508,"","",0
4,33.4577,35.2434,37.0291,2,36.1363,34.3506,"","",0
5,34.8699,36.0218,37.1738,2,36.5978,35.4458,"","",0
6,33.9075,35.5995,37.2915,2,36.4455,34.7535,"","",0
7,34.5412,35.7290,36.9168,2,36.3229,35.1351,"","",0
8,35.8921,36.3278,36.7634,2,36.5456,36.1100,"","",0
9,34.4690,35.6936,36.9182,2,36.3059,35.0813,"","",0
10,35.7245,36.1763,36.6281,2,36.4022,35.9504,"","",0
11,34.5778,35.8191,37.0604,2,36.4398,35.1985,"","",0
12,34.1737,35.7201,37.2664,2,36.4932,34.9469,"","",0
13,34.3527,35.5898,36.8269,2,36.2083,34.9712,"","",0
14,35.8201,36.2583,36.6964,2,36.4773,36.0392,"","",0
15,36.3037,36.3515,36.3993,2,36.3754,36.3276,"","",198
16,35.2721,35.9005,36.5289,2,36.2147,35.5863,"","",61
17,34.5709,35.5171,36.4633,2,35.9902,35.0440,"","",45
18,34.4101,35.5703,36.7306,2,36.1505,34.9902,"","",69
19,34.2023,35.4199,36.6374,2,36.0286,34.8111,"","",62
20,34.3603,35.3653,36.3703,2,35.8678,34.8628,"","",100
21,34.4437,35.3762,36.3087,2,35.8425,34.9099,"","",69
22,34.2686,35.6971,37.1256,2,36.4114,34.9829,"","",68
23,34.4236,35.7368,37.0500,2,36.3934,35.0802,"","",83
24,34.1629,35.5934,37.0238,2,36.3086,34.8782,"","",129
25,34.8428,35.4955,36.1481,2,35.8218,35.1692,"","",109
26,34.8208,35.3580,35.8952,2,35.6266,35.0894,"","",70
27,34.8669,35.2150,35.5631,2,35.3891,35.0409,"","",129
28,34.8489,34.8712,34.8936,2,34.8824,34.8601,"","",234
29,33.1435,34.1554,35.1673,2,34.6613,33.6494,"","",1999
30,32.9172,33.9742,35.0313,2,34.5028,33.4457,"","",264
31,31.8469,33.4747,35.1025,2,34.2886,32.6608,"","",300
32,31.0799,33.1435,35.2071,2,34.1753,32.1117,"","",318
33,31.5966,33.2126,34.8285,2,34.0205,32.4046,"","",1194
34,30.8633,33.0058,35.1484,2,34.0771,31.9345,"","",243
