source,sra_run_id,organism_name,avg_gc
NCBI,SRR9073715,Candida albicans,33.510
HIVE,SRR9073715,Candida albicans,33.510
NCBI,SRR9073716,Candida albicans,33.920
HIVE,SRR9073716,Candida albicans,33.930
NCBI,SRR9073717,Candida albicans,35.380
HIVE,SRR9073717,Candida albicans,35.686
NCBI,SRR9073718,Candida albicans,35.000
HIVE,SRR9073718,Candida albicans,34.978
NCBI,SRR9073719,Candida albicans,35.520
HIVE,SRR9073719,Candida albicans,35.839
NCBI,SRR9073720,Candida albicans,36.210
HIVE,SRR9073720,Candida albicans,****
NCBI,SRR8984817,Candida parapsilosis,38.310
HIVE,SRR8984817,Candida parapsilosis,38.610
NCBI,SRR8984818,Candida parapsilosis,38.330
HIVE,SRR8984818,Candida parapsilosis,37.264
NCBI,SRR8984819,Candida parapsilosis,38.070
HIVE,SRR8984819,Candida parapsilosis,33.719
NCBI,SRR8984820,Candida parapsilosis,38.360
HIVE,SRR8984820,Candida parapsilosis,38.365
NCBI,SRR8984821,Candida parapsilosis,38.560
HIVE,SRR8984821,Candida parapsilosis,38.128
NCBI,SRR8984822,Candida parapsilosis,38.700
HIVE,SRR8984822,Candida parapsilosis,37.671
NCBI,SRR8984823,Candida parapsilosis,38.580
HIVE,SRR8984823,Candida parapsilosis,37.458
NCBI,SRR8984824,Candida parapsilosis,38.400
HIVE,SRR8984824,Candida parapsilosis,38.410
NCBI,SRR8984825,Candida parapsilosis,38.110
HIVE,SRR8984825,Candida parapsilosis,38.110
NCBI,SRR8984826,Candida parapsilosis,38.600
HIVE,SRR8984826,Candida parapsilosis,38.615
NCBI,SRR8984827,Candida parapsilosis,38.430
HIVE,SRR8984827,Candida parapsilosis,38.145
NCBI,SRR8984828,Candida parapsilosis,38.590
HIVE,SRR8984828,Candida parapsilosis,37.529
NCBI,SRR8984829,Candida parapsilosis,38.660
HIVE,SRR8984829,Candida parapsilosis,34.485
NCBI,SRR8984830,Candida parapsilosis,38.410
HIVE,SRR8984830,Candida parapsilosis,38.410
NCBI,SRR8984831,Candida parapsilosis,38.630
HIVE,SRR8984831,Candida parapsilosis,38.643
NCBI,SRR8984832,Candida parapsilosis,38.310
HIVE,SRR8984832,Candida parapsilosis,37.119
NCBI,SRR8984833,Candida parapsilosis,38.380
HIVE,SRR8984833,Candida parapsilosis,38.732
NCBI,SRR8984834,Candida parapsilosis,38.370
HIVE,SRR8984834,Candida parapsilosis,38.375
NCBI,SRR2820658,Escherichia coli,49.950
HIVE,SRR2820658,Escherichia coli,49.960
NCBI,SRR2820659,Escherichia coli,54.410
HIVE,SRR2820659,Escherichia coli,52.294
NCBI,SRR2820660,Escherichia coli,54.470
HIVE,SRR2820660,Escherichia coli,53.081
NCBI,SRR5413252,Escherichia coli,48.980
HIVE,SRR5413252,Escherichia coli,48.755
NCBI,SRR5413253,Escherichia coli,49.860
HIVE,SRR5413253,Escherichia coli,49.900
NCBI,SRR5884781,Escherichia coli,48.270
HIVE,SRR5884781,Escherichia coli,48.764
NCBI,SRR5884782,Escherichia coli,49.980
HIVE,SRR5884782,Escherichia coli,49.995
NCBI,SRR5427930,Escherichia coli O104:H4,49.300
HIVE,SRR5427930,Escherichia coli O104:H4,49.345
NCBI,SRR5427931,Escherichia coli O104:H4,49.680
HIVE,SRR5427931,Escherichia coli O104:H4,49.555
NCBI,SRR5440732,Escherichia coli O104:H4,50.690
HIVE,SRR5440732,Escherichia coli O104:H4,50.252
NCBI,SRR5440733,Escherichia coli O104:H4,49.660
HIVE,SRR5440733,Escherichia coli O104:H4,49.695
NCBI,SRR10027406,Marburg marburgvirus,44.860
HIVE,SRR10027406,Marburg marburgvirus,44.875
NCBI,SRR17261988,Marburg marburgvirus,39.790
HIVE,SRR17261988,Marburg marburgvirus,39.785
NCBI,SRR17262089,Marburg marburgvirus,39.560
HIVE,SRR17262089,Marburg marburgvirus,39.555
NCBI,SRR17262090,Marburg marburgvirus,39.830
HIVE,SRR17262090,Marburg marburgvirus,39.835
NCBI,SRR17262091,Marburg marburgvirus,38.740
HIVE,SRR17262091,Marburg marburgvirus,38.735
NCBI,SRR10017687,Middle East respiratory syndrome-related coronavirus,43.910
HIVE,SRR10017687,Middle East respiratory syndrome-related coronavirus,43.915
NCBI,SRR10027398,Middle East respiratory syndrome-related coronavirus,45.890
HIVE,SRR10027398,Middle East respiratory syndrome-related coronavirus,45.890
NCBI,SRR17262080,Middle East respiratory syndrome-related coronavirus,41.550
HIVE,SRR17262080,Middle East respiratory syndrome-related coronavirus,41.555
NCBI,SRR17262085,Middle East respiratory syndrome-related coronavirus,41.650
HIVE,SRR17262085,Middle East respiratory syndrome-related coronavirus,41.650
NCBI,SRR10017689,Monkeypox virus,49.330
HIVE,SRR10017689,Monkeypox virus,49.335
NCBI,SRR10027401,Monkeypox virus,46.950
HIVE,SRR10027401,Monkeypox virus,46.500
NCBI,SRR12046724,Salmonella enterica,51.410
HIVE,SRR12046724,Salmonella enterica,51.415
NCBI,SRR12046725,Salmonella enterica,50.380
HIVE,SRR12046725,Salmonella enterica,48.173
NCBI,SRR12047329,Salmonella enterica,48.990
HIVE,SRR12047329,Salmonella enterica,48.680
NCBI,SRR12047330,Salmonella enterica,51.600
HIVE,SRR12047330,Salmonella enterica,51.600
NCBI,SRR12047331,Salmonella enterica,50.280
HIVE,SRR12047331,Salmonella enterica,48.724
NCBI,SRR12047332,Salmonella enterica,51.560
HIVE,SRR12047332,Salmonella enterica,51.570
NCBI,SRR12826193,Salmonella enterica,50.820
HIVE,SRR12826193,Salmonella enterica,49.999
NCBI,SRR12826194,Salmonella enterica,50.790
HIVE,SRR12826194,Salmonella enterica,50.800
NCBI,SRR12826195,Salmonella enterica,51.090
HIVE,SRR12826195,Salmonella enterica,49.909
NCBI,SRR12826196,Salmonella enterica,51.220
HIVE,SRR12826196,Salmonella enterica,51.230
NCBI,SRR13183044,Salmonella enterica,51.720
HIVE,SRR13183044,Salmonella enterica,****
NCBI,SRR13183045,Salmonella enterica,51.570
HIVE,SRR13183045,Salmonella enterica,****
NCBI,SRR13183046,Salmonella enterica,51.290
HIVE,SRR13183046,Salmonella enterica,****
NCBI,SRR13183047,Salmonella enterica,51.090
HIVE,SRR13183047,Salmonella enterica,51.090
NCBI,SRR1608974,Salmonella enterica,53.460
HIVE,SRR1608974,Salmonella enterica,51.403
NCBI,SRR1608975,Salmonella enterica,52.460
HIVE,SRR1608975,Salmonella enterica,51.386
NCBI,SRR1608976,Salmonella enterica,51.360
HIVE,SRR1608976,Salmonella enterica,51.375
NCBI,SRR2814419,Salmonella enterica,52.550
HIVE,SRR2814419,Salmonella enterica,52.550
NCBI,SRR2814420,Salmonella enterica,52.490
HIVE,SRR2814420,Salmonella enterica,52.490
NCBI,SRR2814421,Salmonella enterica,54.070
HIVE,SRR2814421,Salmonella enterica,49.307
NCBI,SRR2814422,Salmonella enterica,53.310
HIVE,SRR2814422,Salmonella enterica,51.739
NCBI,SRR9160490,Salmonella enterica,50.210
HIVE,SRR9160490,Salmonella enterica,51.725
NCBI,SRR9160491,Salmonella enterica,52.270
HIVE,SRR9160491,Salmonella enterica,52.275
NCBI,SRR9163265,Salmonella enterica,49.990
HIVE,SRR9163265,Salmonella enterica,49.628
NCBI,SRR9163266,Salmonella enterica,51.440
HIVE,SRR9163266,Salmonella enterica,51.440
NCBI,SRR9163323,Salmonella enterica,51.420
HIVE,SRR9163323,Salmonella enterica,51.430
NCBI,SRR9163324,Salmonella enterica,51.300
HIVE,SRR9163324,Salmonella enterica,49.697
NCBI,SRR9163434,Salmonella enterica,50.970
HIVE,SRR9163434,Salmonella enterica,48.408
NCBI,SRR9163435,Salmonella enterica,51.320
HIVE,SRR9163435,Salmonella enterica,51.325
NCBI,SRR9171840,Salmonella enterica,50.810
HIVE,SRR9171840,Salmonella enterica,50.991
NCBI,SRR9171841,Salmonella enterica,50.850
HIVE,SRR9171841,Salmonella enterica,51.448
NCBI,SRR9171842,Salmonella enterica,52.390
HIVE,SRR9171842,Salmonella enterica,52.395
NCBI,SRR9171843,Salmonella enterica,51.270
HIVE,SRR9171843,Salmonella enterica,51.280
NCBI,SRR9172016,Salmonella enterica,50.480
HIVE,SRR9172016,Salmonella enterica,50.793
NCBI,SRR9172017,Salmonella enterica,50.500
