organism,lineage,GC,Expected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_LT2,50.61,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_Ohio,51.62,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_Typhimurium var. 5-,51.14,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_Infantis,47.08,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_Heidelberg,49.25,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_Hadar,51.52,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_Houtenae,52.1,51.5,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_Paratyphi A,51.67,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_Bredeney,51.12,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_Saintpaul,51.31,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,Salmonella_enterica,50.06,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica,strain_Typhimurium,51.95,52,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marburg marburgvirus,strain_IRF0296,39.84,38.05,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marburg marburgvirus,strain_Ravn virus/IRF0322_RAVN,38.74,38.05,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marburg marburgvirus,strain_musoke,44.88,38.05,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marburg marburgvirus,strain_MARV_ANGOLA,39.55,38.05,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marburg marburgvirus,Marburg_marburgvirus,39.78,38.05,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East respiratory syndrome related coronavirus,strain_EMC,42.78,41.2,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East respiratory syndrome related coronavirus,strain_JOR,41.55,41.2,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East respiratory syndrome related coronavirus,MERS,45.89,41.2,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe acute respiratory syndrome coronavirus 2,2019-nCoV/USA-WA1/2020,42.18,38,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe acute respiratory syndrome coronavirus 2,B.1.1.7/Alpha_isolate,38.67,38,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe acute respiratory syndrome coronavirus 2,B.1.351/Beta_isolate,38.34,38,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe acute respiratory syndrome coronavirus 2,P.1/Gamma_isolate,40.09,38,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe acute respiratory syndrome coronavirus 2,B.1.617.2/Delta_isolate,47.17,38,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe acute respiratory syndrome coronavirus 2,B.1.1.529/Omicron_isolate,53.87,38,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe acute respiratory syndrome coronavirus 2,isolate_Wuhan_Hu_1,50.97,38,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza A virus,strain_APuerto_Rico81934_H1N1,49.86,43.5,From Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monkeypox virus,Monkeypox_virus,46.5,33,From NCBI- median GC% for taxid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
